url,price,title
https://www.olx.com.pk/item/pest-repailling-IDWGk4C.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,200</strong>",Pest Repailling
https://www.olx.com.pk/item/new-holland-8070-1984-model-combine-harvester-IDV5qVz.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 33,00,000</strong>",New Holland 8070 1984 model combine harvester
https://www.olx.com.pk/item/milking-machine-IDV1oOs.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60,000</strong>",Milking machine
https://www.olx.com.pk/item/shovel-high-carbon-steel-IDWYr9l.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,500</strong>",Shovel high carbon steel
https://www.olx.com.pk/item/poulownia-plants-IDV5p9m.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Poulownia plants
https://www.olx.com.pk/item/toka-machine-IDWZRbp.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 22,000</strong>",Toka machine
https://www.olx.com.pk/item/nemesia-strumosa-nana-compacta-carnival-mix-flower-60-seeds-IDV5mc7.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Nemesia strumosa nana compacta Carnival Mix Flower (60) Seeds
https://www.olx.com.pk/item/miracle-tree-moringa-sohanjna-good-quality-seeds-IDV2qYF.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 100</strong>",Miracle tree Moringa (Sohanjna) good quality seeds
https://www.olx.com.pk/item/harvester-8070-IDV5nOq.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 22,00,000</strong>",Harvester 8070
https://www.olx.com.pk/item/cactus-plant-IDWbjA6.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Cactus plant
https://www.olx.com.pk/item/shrimp-shell-available-IDWnz93.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Shrimp shell available
https://www.olx.com.pk/item/wheat-or-gandum-IDV5oFz.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,400</strong>",Wheat or gandum
https://www.olx.com.pk/item/organic-farming-consultancy-in-pakistan-IDWnzXM.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,000</strong>",Organic farming consultancy in Pakistan
https://www.olx.com.pk/item/organic-fertilizer-IDWnzjs.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Organic Fertilizer
https://www.olx.com.pk/item/bone-meal-in-pakistan-IDWnz9T.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 25,000</strong>",Bone meal in pakistan
https://www.olx.com.pk/item/fresh-oyester-mushroom-in-pakistan-IDV5oT9.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Fresh Oyester Mushroom in Pakistan
https://www.olx.com.pk/item/thrayshar-tracter-equipment-IDV5qvy.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,85,000</strong>","Thrayshar, Tracter Equipment."
https://www.olx.com.pk/item/iberis-umbellata-candytuft-dwarf-fairy-mix-flower-40-seeds-IDV5lMU.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Iberis umbellata Candytuft dwarf Fairy Mix Flower (40) Seeds
https://www.olx.com.pk/item/crimped-netting-sheets-for-crash-IDV5rb4.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Crimped netting sheets for crash
https://www.olx.com.pk/item/gazania-splenden-big-kiss-yellow-flame-flower-10-seeds-IDV5q1x.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 75</strong>",Gazania splenden Big Kiss Yellow Flame Flower (10) Seeds
https://www.olx.com.pk/item/4-1-2-foot-thresher-good-condition-IDW7IrY.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 11,00,000</strong>",4.1/2 foot Thresher - Good Condition
